date,weather1,weather2,temperature_max,temperature_min,Wind
2019-01-01,阴 ,多云,4,2,北风 1-2级 
2019-01-02,阴 ,阴,4,1,无持续风向 1-2级 
2019-01-03,阴 ,小雨,8,2,无持续风向 1-2级 
2019-01-04,中雨 ,小雨,7,4,北风 1-2级 
2019-01-05,小雨 ,小雨,7,5,西北风 3-4级 
2019-01-06,多云 ,多云,8,3,北风 1-2级 
2019-01-07,小雨 ,阵雨,7,6,东北风 1-2级 
2019-01-08,阴 ,阵雨,7,5,北风 3-4级 
2019-01-09,小雨 ,中雨,5,3,东北风 1-2级 
2019-01-10,小雨 ,小雨,7,5,无持续风向 1-2级 
2019-01-11,小雨 ,小雨,7,5,无持续风向 1-2级 
2019-01-12,阴 ,多云,8,1,北风 3-4级 
2019-01-13,多云 ,晴,8,2,北风 1-2级 
2019-01-14,小雨 ,小雨,8,5,无持续风向 1-2级 
2019-01-15,小雨 ,阵雨,6,1,北风 3-4级 
2019-01-16,多云 ,多云,4,1,无持续风向 1-2级 
2019-01-17,晴 ,晴,8,1,西南风 1-2级 
2019-01-18,晴 ,晴,12,1,东北风 1-2级 
2019-01-19,多云 ,阴,12,5,无持续风向 1-2级 
2019-01-20,晴 ,晴,9,1,无持续风向 1-2级 
2019-01-21,多云 ,晴,8,0,东北风 1-2级 
2019-01-22,晴 ,晴,12,0,西南风 3-4级 
2019-01-23,晴 ,晴,12,2,无持续风向 1-2级 
2019-01-24,晴 ,晴,13,1,东北风 1-2级 
2019-01-25,多云 ,多云,11,2,无持续风向 1-2级 
2019-01-26,多云 ,晴,5,0,无持续风向 1-2级 
2019-01-27,晴 ,多云,11,1,无持续风向 1-2级 
2019-01-28,阴 ,阴,11,4,无持续风向 1-2级 
2019-01-29,阴 ,多云,10,5,东北风 1-2级 
