stationID,lineID,lineSort,shift,is_shift,lineSortD,first_1,first_2,last_1,last_2
0,B,1,1,0,34,5:59,--,22:40,--
1,B,2,2,1,33,6:02,6:30,22:42,23:47
2,B,3,2,1,32,6:04,6:27,22:44,23:44
3,B,4,2,1,31,6:06,6:24,22:47,23:42
4,B,5,2,1,30,6:08,6:22,22:49,23:40
5,B,6,4,1,29,6:12,6:18,22:53,23:36
6,B,7,2,1,28,6:14,6:16,22:55,23:34
7,B,8,2,1,27,6:16,6:14,22:57,23:31
8,B,9,2,1,26,6:19,6:12,22:59,23:29
9,B,10,3,1,25,6:10,6:09,23:02,23:26
10,B,11,4,1,24,6:12,6:07,23:04,23:24
11,B,12,3,1,23,6:14,6:12,23:06,23:21
12,B,13,2,1,22,6:16,6:10,23:08,23:19
13,B,14,2,1,21,6:18,6:08,23:10,23:17
14,B,15,2,1,20,6:21,6:05,23:13,23:14
15,B,16,3,1,19,6:11,6:02,23:16,23:11
16,B,17,2,1,18,6:13,6:00,23:18,23:09
17,B,18,2,1,17,6:16,6:13,23:20,23:07
18,B,19,2,1,16,6:00,6:11,23:23,23:04
19,B,20,2,1,15,6:02,6:09,23:25,23:02
20,B,21,3,1,14,6:04,6:13,23:28,23:00
21,B,22,2,1,13,6:08,6:08,23:31,22:49
22,B,23,2,1,12,6:10,6:06,23:34,22:47
23,B,24,2,1,11,6:12,6:04,23:35,22:45
24,B,25,2,1,10,6:14,6:02,23:38,22:43
25,B,26,2,1,9,6:18,5:59,23:42,22:39
26,B,27,2,1,8,6:21,5:56,23:44,22:37
27,B,28,1,0,7,--,5:54,--,22:35
28,B,29,2,1,6,6:14,6:13,23:43,22:56
29,B,30,2,1,5,6:17,6:10,23:46,22:53
30,B,31,2,1,4,6:20,6:07,23:50,22:49
31,B,32,2,1,3,6:23,6:04,23:53,22:47
32,B,33,2,1,2,6:26,6:02,23:55,22:44
33,B,34,1,0,1,--,6:00,--,22:42
34,C,1,1,0,33,6:04,--,22:43,--
35,C,2,2,1,32,6:06,6:24,22:45,0:01
36,C,3,2,1,31,6:09,6:22,22:48,23:58
37,C,4,2,1,30,6:12,6:19,22:51,23:55
38,C,5,2,1,29,6:14,6:17,22:53,23:53
39,C,6,2,1,28,6:08,6:23,22:55,23:51
40,C,7,2,1,27,6:10,6:20,22:58,23:49
41,C,8,2,1,26,6:12,6:18,23:00,23:47
42,C,9,2,1,25,6:14,6:16,23:02,23:45
43,C,10,2,1,24,6:17,6:13,23:05,23:42
44,C,11,2,1,23,6:09,6:11,23:07,23:40
45,C,12,2,1,22,6:11,6:18,23:09,23:37
46,C,13,4,1,21,--,--,--,--
47,C,14,2,1,20,6:09,6:15,23:14,23:34
48,C,15,2,1,19,6:11,6:12,23:16,23:31
49,C,16,2,1,18,6:14,6:10,23:19,23:28
50,C,17,3,1,17,6:08,6:16,23:21,23:26
51,C,18,4,1,16,6:10,6:14,23:23,23:24
52,C,19,3,1,15,6:14,6:11,23:27,23:20
53,C,20,2,1,14,6:16,6:09,23:29,23:18
54,C,21,2,1,13,6:09,6:07,23:31,23:16
55,C,22,2,1,12,6:13,6:11,23:36,23:11
56,C,23,2,1,11,6:15,6:09,23:37,23:09
57,C,24,2,1,10,6:18,6:07,23:40,23:07
58,C,25,2,1,9,6:12,6:04,23:42,23:05
59,C,26,2,1,8,6:14,6:11,23:45,23:02
60,C,27,2,1,7,6:16,6:09,23:47,23:00
61,C,28,2,1,6,6:19,6:06,23:50,22:57
62,C,29,2,1,5,6:21,6:09,23:52,22:55
63,C,30,2,1,4,6:24,6:07,23:54,22:53
64,C,31,2,1,3,6:26,6:04,23:57,22:50
65,C,32,2,1,2,6:29,6:02,23:59,22:48
66,C,33,1,0,1,6:31,6:00,0:01,22:46
67,A,1,1,0,14,6:00,--,22:55,--
68,A,2,2,1,13,6:02,6:16,22:58,23:29
69,A,3,2,1,12,6:04,6:14,23:00,23:27
70,A,4,2,1,11,6:07,6:12,23:02,23:24
71,A,5,2,1,10,6:10,6:09,23:05,23:21
72,A,6,2,1,9,6:12,6:07,23:07,23:19
73,A,7,2,1,8,6:15,6:04,23:10,23:16
74,A,8,2,1,7,6:18,6:10,23:13,23:13
75,A,9,2,1,6,6:14,6:05,23:18,23:08
76,A,10,2,1,5,6:16,6:04,23:20,23:07
77,A,11,2,1,4,6:18,6:13,23:21,23:05
78,A,12,2,1,3,6:14,6:09,23:26,23:00
79,A,13,2,1,2,6:16,6:06,23:29,22:58
80,A,14,2,1,1,6:18,6:04,23:31,22:55
